text,class,steps,intent,text_te
"Initially, pick the coolant pipe in the pipe rack, then carry on with install the coolant pipe in the engine bay.",Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,"ప్రారంభంలో, పైపు రాక్ లో శీతలీకరణ ద్రవ పైపు ఎంచుకోండి, అప్పుడు ఇంజిన్ బే లో శీతలీకరణ ద్రవ పైపు ఇన్స్టాల్ కొనసాగుతుంది."
Start the operation with inspect the chassis welds in the welding bay. Proceed to report the quality control system.,Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,వేడి కవాటంలో చట్రం వేడి తనిఖీ ఆపరేషన్ ప్రారంభించండి. నాణ్యత నియంత్రణ వ్యవస్థ నివేదించడానికి కొనసాగండి.
First complete the task of inspect the chassis welds in the welding bay. Then proceed to report the quality control system.,Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,మొదట వేడి బేలో చట్రం వేడి తనిఖీ యొక్క పని పూర్తి. అప్పుడు నాణ్యత నియంత్రణ వ్యవస్థ నివేదించడానికి కొనసాగండి.
"Proceed by first fetch the dashboard panel in the storage shelf, then move to install the dashboard panel in the cockpit.",Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,"మొదటి స్టోరేజ్ షెల్ఫ్ లో డాష్బోర్డ్ ప్యానెల్ తీసుకుని ద్వారా కొనసాగండి, అప్పుడు కాక్పిట్ లో డాష్బోర్డ్ ప్యానెల్ ఇన్స్టాల్ తరలించడానికి."
Let’s start with pick the coolant pipe in the pipe rack. Then focus on install the coolant pipe in the engine bay.,Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,యొక్క పైపు రాక్ లో శీతలీకరణ పైపు ఎంచుకోండి తో ప్రారంభిద్దాం. అప్పుడు ఇంజిన్ బే లో శీతలీకరణ పైపు ఇన్స్టాల్ దృష్టి.
Let’s start with pick the wheel in the parts rack. Then focus on place the wheel in the axle hub.,Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,యొక్క భాగాలు రాక్ లో చక్రం ఎంచుకోండి తో ప్రారంభిద్దాం. అప్పుడు అక్షం హబ్ లో చక్రం ఉంచడం దృష్టి.
"To begin, navigate to the dashboard fitting area. The next action is to install the infotainment unit in the center console.",Planning,"[{'action': 'navigate', 'target': 'dashboard fitting area'}, {'action': 'install', 'object': 'infotainment unit', 'location': 'center console'}]",,"ప్రారంభించడానికి, డాష్బోర్డ్ అమరిక ప్రాంతానికి నావిగేట్ చేయండి. తదుపరి చర్య సెంటర్ కన్సోల్లో ఇన్ఫోటైన్మెంట్ యూనిట్ను ఇన్స్టాల్ చేయడం."
Step A is to navigate to the dashboard fitting area. Step B is to install the infotainment unit in the center console.,Planning,"[{'action': 'navigate', 'target': 'dashboard fitting area'}, {'action': 'install', 'object': 'infotainment unit', 'location': 'center console'}]",,దశ A డాష్బోర్డ్ అమరిక ప్రాంతానికి నావిగేట్ చేయడం దశ B సెంటర్ కన్సోల్లో ఇన్ఫోటైన్మెంట్ యూనిట్ను ఇన్స్టాల్ చేయడం.
Let’s start with inspect the chassis welds in the welding bay. Then focus on report the quality control system.,Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,యొక్క వేడి గూడు లో చట్రం వేడి తనిఖీ ప్రారంభిద్దాం. అప్పుడు నాణ్యత నియంత్రణ వ్యవస్థ నివేదిక దృష్టి.
"Initiate by pick the wheel in the parts rack. Next, proceed to place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"భాగాల రాక్ లోని చక్రాన్ని ఎంచుకోవడం ద్వారా ప్రారంభించండి. తరువాత, చక్రాన్ని ఆక్సిల్ హబ్ లో ఉంచండి."
"Start your operation with weld the suspension bracket in the rear frame. Afterward, tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"వెనుక ఫ్రేమ్ లోని సస్పెన్షన్ బ్రాకెట్ ను వేల్డింగ్ చేయడం ద్వారా మీ ఆపరేషన్ను ప్రారంభించండి. ఆ తరువాత, వెనుక ఫ్రేమ్ లోని బోర్టులను బిగించండి."
First complete the task of weld the suspension bracket in the rear frame. Then proceed to tighten the bolts in the rear frame.,Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,ముందుగా వెనుక ఫ్రేమ్ లోని సస్పెన్షన్ బ్రాకెట్ ను వేల్డరు చేయడం పూర్తి చేయండి. ఆపై వెనుక ఫ్రేమ్ లోని బోర్టులను బిగించడం కొనసాగించండి.
"First, complete navigate to the interior fitting zone, then handle adjust the seat position in the driver side.",Planning,"[{'action': 'navigate', 'target': 'interior fitting zone'}, {'action': 'adjust', 'object': 'seat position', 'location': 'driver side'}]",,"మొదటి, అంతర్గత అమరిక జోన్ పూర్తి నావిగేట్, అప్పుడు డ్రైవర్ వైపు సీటు స్థానం సర్దుబాటు హ్యాండిల్."
"The first phase is to pick the wheel in the parts rack, then advance to place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"మొదటి దశలో భాగాల రాక్ లోని చక్రాన్ని ఎంచుకొని, ఆపై చక్రాన్ని ఆక్సిల్ హబ్ లో ఉంచడానికి ముందుకు సాగుతుంది."
